2021-09-13 21:41:58 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2021-09-13 21:42:04 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-09-13 21:42:09 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2021-09-13 21:42:10 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-09-13 21:42:11 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-09-13 21:42:11 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-09-13 21:42:11 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-09-13 21:42:11 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-13 21:42:11 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7352 ms
2021-09-13 21:42:14 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-13 21:42:21 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2021-09-13 21:42:21 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2021-09-13 21:42:21 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2021-09-13 21:42:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@fbe8fd3, org.springframework.security.web.context.SecurityContextPersistenceFilter@702cfbde, org.springframework.security.web.header.HeaderWriterFilter@30ef32eb, org.springframework.security.web.csrf.CsrfFilter@4f2fdf3d, org.springframework.security.web.authentication.logout.LogoutFilter@4cadd4d4, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5d74507c, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@7ebc5be6, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1ab268bd, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@65da4a5d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5dce5c03, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@355493bf, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2fafa7b5, org.springframework.security.web.session.SessionManagementFilter@bb5f9d, org.springframework.security.web.access.ExceptionTranslationFilter@229cb4d8, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6eb00cbe]
2021-09-13 21:42:22 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-09-13 21:42:22 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-09-13 21:42:22 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-09-13 21:42:22 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 27.787 seconds (JVM running for 32.656)
2021-09-13 21:42:24 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-13 21:42:24 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-13 21:42:24 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 26 ms
2021-09-13 21:42:30 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-1131137612019765197/config-client-twitter_to_kafka.yml
