2021-09-17 12:03:47 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2021-09-17 12:03:49 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-09-17 12:03:50 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2021-09-17 12:03:51 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-09-17 12:03:51 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-09-17 12:03:51 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-09-17 12:03:51 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-09-17 12:03:51 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-17 12:03:51 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2295 ms
2021-09-17 12:03:52 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-17 12:04:05 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2021-09-17 12:04:05 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2021-09-17 12:04:05 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2021-09-17 12:04:05 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1dbc607d, org.springframework.security.web.context.SecurityContextPersistenceFilter@5dd3727c, org.springframework.security.web.header.HeaderWriterFilter@252d8df6, org.springframework.security.web.csrf.CsrfFilter@5f5a33ed, org.springframework.security.web.authentication.logout.LogoutFilter@4e647f39, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@23c72128, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@b76b7d8, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@62b42406, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@16944b58, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@229cb4d8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5dce5c03, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@a0e33db, org.springframework.security.web.session.SessionManagementFilter@2f8f40cc, org.springframework.security.web.access.ExceptionTranslationFilter@87220f1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@41026e5c]
2021-09-17 12:04:05 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-09-17 12:04:05 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-09-17 12:04:05 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-09-17 12:04:05 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 18.94 seconds (JVM running for 20.724)
2021-09-17 12:07:22 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-17 12:07:22 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-17 12:07:22 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 20 ms
2021-09-17 12:07:33 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-16075627991548937462/config-client-twitter_to_kafka.yml
2021-09-17 12:07:33 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-16075627991548937462/config-client.yml
2021-09-17 12:07:43 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-16075627991548937462/config-client-kafka_to_elastic.yml
2021-09-17 12:07:43 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-16075627991548937462/config-client.yml
2021-09-17 12:08:03 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-16075627991548937462/config-client-elastic_query.yml
2021-09-17 12:08:03 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-16075627991548937462/config-client.yml
